	SPACE (U+0020) 	20
„ 	<control> (U+0084) 	c284
… 	NEXT LINE (NEL) (U+0085) 	c285
† 	START OF SELECTED AREA (U+0086) 	c286
‡ 	END OF SELECTED AREA (U+0087) 	c287
ˆ 	CHARACTER TABULATION SET (U+0088) 	c288
‰ 	CHARACTER TABULATION WITH JUSTIFICATION (U+0089) 	c289
Š 	LINE TABULATION SET (U+008A) 	c28a
‹ 	PARTIAL LINE FORWARD (U+008B) 	c28b
Œ 	PARTIAL LINE BACKWARD (U+008C) 	c28c
 	REVERSE LINE FEED (U+008D) 	c28d
Ž 	SINGLE SHIFT TWO (U+008E) 	c28e
 	SINGLE SHIFT THREE (U+008F) 	c28f
 	DEVICE CONTROL STRING (U+0090) 	c290
‘ 	PRIVATE USE ONE (U+0091) 	c291
’ 	PRIVATE USE TWO (U+0092) 	c292
“ 	SET TRANSMIT STATE (U+0093) 	c293
” 	CANCEL CHARACTER (U+0094) 	c294
• 	MESSAGE WAITING (U+0095) 	c295
– 	START OF GUARDED AREA (U+0096) 	c296
— 	END OF GUARDED AREA (U+0097) 	c297
˜ 	START OF STRING (U+0098) 	c298
™ 	<control> (U+0099) 	c299
š 	SINGLE CHARACTER INTRODUCER (U+009A) 	c29a
› 	CONTROL SEQUENCE INTRODUCER (U+009B) 	c29b
œ 	STRING TERMINATOR (U+009C) 	c29c
 	OPERATING SYSTEM COMMAND (U+009D) 	c29d
ž 	PRIVACY MESSAGE (U+009E) 	c29e
Ÿ 	APPLICATION PROGRAM COMMAND (U+009F) 	c29f
  	NO-BREAK SPACE (U+00A0) 	c2a0
¡ 	INVERTED EXCLAMATION MARK (U+00A1) 	c2a1
¢ 	CENT SIGN (U+00A2) 	c2a2
£ 	POUND SIGN (U+00A3) 	c2a3
¤ 	CURRENCY SIGN (U+00A4) 	c2a4
¥ 	YEN SIGN (U+00A5) 	c2a5
¦ 	BROKEN BAR (U+00A6) 	c2a6
§ 	SECTION SIGN (U+00A7) 	c2a7
¨ 	DIAERESIS (U+00A8) 	c2a8
© 	COPYRIGHT SIGN (U+00A9) 	c2a9
ª 	FEMININE ORDINAL INDICATOR (U+00AA) 	c2aa
« 	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00AB) 	c2ab
¬ 	NOT SIGN (U+00AC) 	c2ac
­ 	SOFT HYPHEN (U+00AD) 	c2ad
® 	REGISTERED SIGN (U+00AE) 	c2ae
¯ 	MACRON (U+00AF) 	c2af
° 	DEGREE SIGN (U+00B0) 	c2b0
± 	PLUS-MINUS SIGN (U+00B1) 	c2b1
² 	SUPERSCRIPT TWO (U+00B2) 	c2b2
³ 	SUPERSCRIPT THREE (U+00B3) 	c2b3
´ 	ACUTE ACCENT (U+00B4) 	c2b4
µ 	MICRO SIGN (U+00B5) 	c2b5
¶ 	PILCROW SIGN (U+00B6) 	c2b6
· 	MIDDLE DOT (U+00B7) 	c2b7
¸ 	CEDILLA (U+00B8) 	c2b8
¹ 	SUPERSCRIPT ONE (U+00B9) 	c2b9
º 	MASCULINE ORDINAL INDICATOR (U+00BA) 	c2ba
» 	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00BB) 	c2bb
¼ 	VULGAR FRACTION ONE QUARTER (U+00BC) 	c2bc
½ 	VULGAR FRACTION ONE HALF (U+00BD) 	c2bd
¾ 	VULGAR FRACTION THREE QUARTERS (U+00BE) 	c2be
¿ 	INVERTED QUESTION MARK (U+00BF) 	c2bf
À 	LATIN CAPITAL LETTER A WITH GRAVE (U+00C0) 	c380
Á 	LATIN CAPITAL LETTER A WITH ACUTE (U+00C1) 	c381
Â 	LATIN CAPITAL LETTER A WITH CIRCUMFLEX (U+00C2) 	c382
Ã 	LATIN CAPITAL LETTER A WITH TILDE (U+00C3) 	c383
Ä 	LATIN CAPITAL LETTER A WITH DIAERESIS (U+00C4) 	c384
Å 	LATIN CAPITAL LETTER A WITH RING ABOVE (U+00C5) 	c385
Æ 	LATIN CAPITAL LETTER AE (U+00C6) 	c386
Ç 	LATIN CAPITAL LETTER C WITH CEDILLA (U+00C7) 	c387
È 	LATIN CAPITAL LETTER E WITH GRAVE (U+00C8) 	c388
É 	LATIN CAPITAL LETTER E WITH ACUTE (U+00C9) 	c389
Ê 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX (U+00CA) 	c38a
Ë 	LATIN CAPITAL LETTER E WITH DIAERESIS (U+00CB) 	c38b
Ì 	LATIN CAPITAL LETTER I WITH GRAVE (U+00CC) 	c38c
Í 	LATIN CAPITAL LETTER I WITH ACUTE (U+00CD) 	c38d
Î 	LATIN CAPITAL LETTER I WITH CIRCUMFLEX (U+00CE) 	c38e
Ï 	LATIN CAPITAL LETTER I WITH DIAERESIS (U+00CF) 	c38f
Ð 	LATIN CAPITAL LETTER ETH (U+00D0) 	c390
Ñ 	LATIN CAPITAL LETTER N WITH TILDE (U+00D1) 	c391
Ò 	LATIN CAPITAL LETTER O WITH GRAVE (U+00D2) 	c392
Ó 	LATIN CAPITAL LETTER O WITH ACUTE (U+00D3) 	c393
Ô 	LATIN CAPITAL LETTER O WITH CIRCUMFLEX (U+00D4) 	c394
Õ 	LATIN CAPITAL LETTER O WITH TILDE (U+00D5) 	c395
Ö 	LATIN CAPITAL LETTER O WITH DIAERESIS (U+00D6) 	c396
× 	MULTIPLICATION SIGN (U+00D7) 	c397
Ø 	LATIN CAPITAL LETTER O WITH STROKE (U+00D8) 	c398
Ù 	LATIN CAPITAL LETTER U WITH GRAVE (U+00D9) 	c399
Ú 	LATIN CAPITAL LETTER U WITH ACUTE (U+00DA) 	c39a
Û 	LATIN CAPITAL LETTER U WITH CIRCUMFLEX (U+00DB) 	c39b
Ü 	LATIN CAPITAL LETTER U WITH DIAERESIS (U+00DC) 	c39c
Ý 	LATIN CAPITAL LETTER Y WITH ACUTE (U+00DD) 	c39d
Þ 	LATIN CAPITAL LETTER THORN (U+00DE) 	c39e
ß 	LATIN SMALL LETTER SHARP S (U+00DF) 	c39f
à 	LATIN SMALL LETTER A WITH GRAVE (U+00E0) 	c3a0
á 	LATIN SMALL LETTER A WITH ACUTE (U+00E1) 	c3a1
â 	LATIN SMALL LETTER A WITH CIRCUMFLEX (U+00E2) 	c3a2
ã 	LATIN SMALL LETTER A WITH TILDE (U+00E3) 	c3a3
ä 	LATIN SMALL LETTER A WITH DIAERESIS (U+00E4) 	c3a4
å 	LATIN SMALL LETTER A WITH RING ABOVE (U+00E5) 	c3a5
æ 	LATIN SMALL LETTER AE (U+00E6) 	c3a6
ç 	LATIN SMALL LETTER C WITH CEDILLA (U+00E7) 	c3a7
è 	LATIN SMALL LETTER E WITH GRAVE (U+00E8) 	c3a8
é 	LATIN SMALL LETTER E WITH ACUTE (U+00E9) 	c3a9
ê 	LATIN SMALL LETTER E WITH CIRCUMFLEX (U+00EA) 	c3aa
ë 	LATIN SMALL LETTER E WITH DIAERESIS (U+00EB) 	c3ab
ì 	LATIN SMALL LETTER I WITH GRAVE (U+00EC) 	c3ac
í 	LATIN SMALL LETTER I WITH ACUTE (U+00ED) 	c3ad
î 	LATIN SMALL LETTER I WITH CIRCUMFLEX (U+00EE) 	c3ae
ï 	LATIN SMALL LETTER I WITH DIAERESIS (U+00EF) 	c3af
ð 	LATIN SMALL LETTER ETH (U+00F0) 	c3b0
ñ 	LATIN SMALL LETTER N WITH TILDE (U+00F1) 	c3b1
ò 	LATIN SMALL LETTER O WITH GRAVE (U+00F2) 	c3b2
ó 	LATIN SMALL LETTER O WITH ACUTE (U+00F3) 	c3b3
ô 	LATIN SMALL LETTER O WITH CIRCUMFLEX (U+00F4) 	c3b4
õ 	LATIN SMALL LETTER O WITH TILDE (U+00F5) 	c3b5
ö 	LATIN SMALL LETTER O WITH DIAERESIS (U+00F6) 	c3b6
÷ 	DIVISION SIGN (U+00F7) 	c3b7
ø 	LATIN SMALL LETTER O WITH STROKE (U+00F8) 	c3b8
ù 	LATIN SMALL LETTER U WITH GRAVE (U+00F9) 	c3b9
ú 	LATIN SMALL LETTER U WITH ACUTE (U+00FA) 	c3ba
û 	LATIN SMALL LETTER U WITH CIRCUMFLEX (U+00FB) 	c3bb
ü 	LATIN SMALL LETTER U WITH DIAERESIS (U+00FC) 	c3bc
ý 	LATIN SMALL LETTER Y WITH ACUTE (U+00FD) 	c3bd
þ 	LATIN SMALL LETTER THORN (U+00FE) 	c3be
ÿ 	LATIN SMALL LETTER Y WITH DIAERESIS (U+00FF) 	c3bf
Ā 	LATIN CAPITAL LETTER A WITH MACRON (U+0100) 	c480
ā 	LATIN SMALL LETTER A WITH MACRON (U+0101) 	c481
Ă 	LATIN CAPITAL LETTER A WITH BREVE (U+0102) 	c482
ă 	LATIN SMALL LETTER A WITH BREVE (U+0103) 	c483
Ą 	LATIN CAPITAL LETTER A WITH OGONEK (U+0104) 	c484
ą 	LATIN SMALL LETTER A WITH OGONEK (U+0105) 	c485
Ć 	LATIN CAPITAL LETTER C WITH ACUTE (U+0106) 	c486
ć 	LATIN SMALL LETTER C WITH ACUTE (U+0107) 	c487
Ĉ 	LATIN CAPITAL LETTER C WITH CIRCUMFLEX (U+0108) 	c488
ĉ 	LATIN SMALL LETTER C WITH CIRCUMFLEX (U+0109) 	c489
Ċ 	LATIN CAPITAL LETTER C WITH DOT ABOVE (U+010A) 	c48a
ċ 	LATIN SMALL LETTER C WITH DOT ABOVE (U+010B) 	c48b
Č 	LATIN CAPITAL LETTER C WITH CARON (U+010C) 	c48c
č 	LATIN SMALL LETTER C WITH CARON (U+010D) 	c48d
Ď 	LATIN CAPITAL LETTER D WITH CARON (U+010E) 	c48e
ď 	LATIN SMALL LETTER D WITH CARON (U+010F) 	c48f
Đ 	LATIN CAPITAL LETTER D WITH STROKE (U+0110) 	c490
đ 	LATIN SMALL LETTER D WITH STROKE (U+0111) 	c491
Ē 	LATIN CAPITAL LETTER E WITH MACRON (U+0112) 	c492
ē 	LATIN SMALL LETTER E WITH MACRON (U+0113) 	c493
Ĕ 	LATIN CAPITAL LETTER E WITH BREVE (U+0114) 	c494
ĕ 	LATIN SMALL LETTER E WITH BREVE (U+0115) 	c495
Ė 	LATIN CAPITAL LETTER E WITH DOT ABOVE (U+0116) 	c496
ė 	LATIN SMALL LETTER E WITH DOT ABOVE (U+0117) 	c497
Ę 	LATIN CAPITAL LETTER E WITH OGONEK (U+0118) 	c498
ę 	LATIN SMALL LETTER E WITH OGONEK (U+0119) 	c499
Ě 	LATIN CAPITAL LETTER E WITH CARON (U+011A) 	c49a
ě 	LATIN SMALL LETTER E WITH CARON (U+011B) 	c49b
Ĝ 	LATIN CAPITAL LETTER G WITH CIRCUMFLEX (U+011C) 	c49c
ĝ 	LATIN SMALL LETTER G WITH CIRCUMFLEX (U+011D) 	c49d
Ğ 	LATIN CAPITAL LETTER G WITH BREVE (U+011E) 	c49e
ğ 	LATIN SMALL LETTER G WITH BREVE (U+011F) 	c49f
Ġ 	LATIN CAPITAL LETTER G WITH DOT ABOVE (U+0120) 	c4a0
ġ 	LATIN SMALL LETTER G WITH DOT ABOVE (U+0121) 	c4a1
Ģ 	LATIN CAPITAL LETTER G WITH CEDILLA (U+0122) 	c4a2
ģ 	LATIN SMALL LETTER G WITH CEDILLA (U+0123) 	c4a3
Ĥ 	LATIN CAPITAL LETTER H WITH CIRCUMFLEX (U+0124) 	c4a4
ĥ 	LATIN SMALL LETTER H WITH CIRCUMFLEX (U+0125) 	c4a5
Ħ 	LATIN CAPITAL LETTER H WITH STROKE (U+0126) 	c4a6
ħ 	LATIN SMALL LETTER H WITH STROKE (U+0127) 	c4a7
Ĩ 	LATIN CAPITAL LETTER I WITH TILDE (U+0128) 	c4a8
ĩ 	LATIN SMALL LETTER I WITH TILDE (U+0129) 	c4a9
Ī 	LATIN CAPITAL LETTER I WITH MACRON (U+012A) 	c4aa
ī 	LATIN SMALL LETTER I WITH MACRON (U+012B) 	c4ab
Ĭ 	LATIN CAPITAL LETTER I WITH BREVE (U+012C) 	c4ac
ĭ 	LATIN SMALL LETTER I WITH BREVE (U+012D) 	c4ad
Į 	LATIN CAPITAL LETTER I WITH OGONEK (U+012E) 	c4ae
į 	LATIN SMALL LETTER I WITH OGONEK (U+012F) 	c4af
İ 	LATIN CAPITAL LETTER I WITH DOT ABOVE (U+0130) 	c4b0
ı 	LATIN SMALL LETTER DOTLESS I (U+0131) 	c4b1
Ĳ 	LATIN CAPITAL LIGATURE IJ (U+0132) 	c4b2
ĳ 	LATIN SMALL LIGATURE IJ (U+0133) 	c4b3
Ĵ 	LATIN CAPITAL LETTER J WITH CIRCUMFLEX (U+0134) 	c4b4
ĵ 	LATIN SMALL LETTER J WITH CIRCUMFLEX (U+0135) 	c4b5
Ķ 	LATIN CAPITAL LETTER K WITH CEDILLA (U+0136) 	c4b6
ķ 	LATIN SMALL LETTER K WITH CEDILLA (U+0137) 	c4b7
ĸ 	LATIN SMALL LETTER KRA (U+0138) 	c4b8
Ĺ 	LATIN CAPITAL LETTER L WITH ACUTE (U+0139) 	c4b9
ĺ 	LATIN SMALL LETTER L WITH ACUTE (U+013A) 	c4ba
Ļ 	LATIN CAPITAL LETTER L WITH CEDILLA (U+013B) 	c4bb
ļ 	LATIN SMALL LETTER L WITH CEDILLA (U+013C) 	c4bc
Ľ 	LATIN CAPITAL LETTER L WITH CARON (U+013D) 	c4bd
ľ 	LATIN SMALL LETTER L WITH CARON (U+013E) 	c4be
Ŀ 	LATIN CAPITAL LETTER L WITH MIDDLE DOT (U+013F) 	c4bf
ŀ 	LATIN SMALL LETTER L WITH MIDDLE DOT (U+0140) 	c580
Ł 	LATIN CAPITAL LETTER L WITH STROKE (U+0141) 	c581
ł 	LATIN SMALL LETTER L WITH STROKE (U+0142) 	c582
Ń 	LATIN CAPITAL LETTER N WITH ACUTE (U+0143) 	c583
ń 	LATIN SMALL LETTER N WITH ACUTE (U+0144) 	c584
Ņ 	LATIN CAPITAL LETTER N WITH CEDILLA (U+0145) 	c585
ņ 	LATIN SMALL LETTER N WITH CEDILLA (U+0146) 	c586
Ň 	LATIN CAPITAL LETTER N WITH CARON (U+0147) 	c587
ň 	LATIN SMALL LETTER N WITH CARON (U+0148) 	c588
ŉ 	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE (U+0149) 	c589
Ŋ 	LATIN CAPITAL LETTER ENG (U+014A) 	c58a
ŋ 	LATIN SMALL LETTER ENG (U+014B) 	c58b
Ō 	LATIN CAPITAL LETTER O WITH MACRON (U+014C) 	c58c
ō 	LATIN SMALL LETTER O WITH MACRON (U+014D) 	c58d
Ŏ 	LATIN CAPITAL LETTER O WITH BREVE (U+014E) 	c58e
ŏ 	LATIN SMALL LETTER O WITH BREVE (U+014F) 	c58f
Ő 	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE (U+0150) 	c590
ő 	LATIN SMALL LETTER O WITH DOUBLE ACUTE (U+0151) 	c591
Œ 	LATIN CAPITAL LIGATURE OE (U+0152) 	c592
œ 	LATIN SMALL LIGATURE OE (U+0153) 	c593
Ŕ 	LATIN CAPITAL LETTER R WITH ACUTE (U+0154) 	c594
ŕ 	LATIN SMALL LETTER R WITH ACUTE (U+0155) 	c595
Ŗ 	LATIN CAPITAL LETTER R WITH CEDILLA (U+0156) 	c596
ŗ 	LATIN SMALL LETTER R WITH CEDILLA (U+0157) 	c597
Ř 	LATIN CAPITAL LETTER R WITH CARON (U+0158) 	c598
ř 	LATIN SMALL LETTER R WITH CARON (U+0159) 	c599
Ś 	LATIN CAPITAL LETTER S WITH ACUTE (U+015A) 	c59a
ś 	LATIN SMALL LETTER S WITH ACUTE (U+015B) 	c59b
Ŝ 	LATIN CAPITAL LETTER S WITH CIRCUMFLEX (U+015C) 	c59c
ŝ 	LATIN SMALL LETTER S WITH CIRCUMFLEX (U+015D) 	c59d
Ş 	LATIN CAPITAL LETTER S WITH CEDILLA (U+015E) 	c59e
ş 	LATIN SMALL LETTER S WITH CEDILLA (U+015F) 	c59f
Š 	LATIN CAPITAL LETTER S WITH CARON (U+0160) 	c5a0
š 	LATIN SMALL LETTER S WITH CARON (U+0161) 	c5a1
Ţ 	LATIN CAPITAL LETTER T WITH CEDILLA (U+0162) 	c5a2
ţ 	LATIN SMALL LETTER T WITH CEDILLA (U+0163) 	c5a3
Ť 	LATIN CAPITAL LETTER T WITH CARON (U+0164) 	c5a4
ť 	LATIN SMALL LETTER T WITH CARON (U+0165) 	c5a5
Ŧ 	LATIN CAPITAL LETTER T WITH STROKE (U+0166) 	c5a6
ŧ 	LATIN SMALL LETTER T WITH STROKE (U+0167) 	c5a7
Ũ 	LATIN CAPITAL LETTER U WITH TILDE (U+0168) 	c5a8
ũ 	LATIN SMALL LETTER U WITH TILDE (U+0169) 	c5a9
Ū 	LATIN CAPITAL LETTER U WITH MACRON (U+016A) 	c5aa
ū 	LATIN SMALL LETTER U WITH MACRON (U+016B) 	c5ab
Ŭ 	LATIN CAPITAL LETTER U WITH BREVE (U+016C) 	c5ac
ŭ 	LATIN SMALL LETTER U WITH BREVE (U+016D) 	c5ad
Ů 	LATIN CAPITAL LETTER U WITH RING ABOVE (U+016E) 	c5ae
ů 	LATIN SMALL LETTER U WITH RING ABOVE (U+016F) 	c5af
Ű 	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE (U+0170) 	c5b0
ű 	LATIN SMALL LETTER U WITH DOUBLE ACUTE (U+0171) 	c5b1
Ų 	LATIN CAPITAL LETTER U WITH OGONEK (U+0172) 	c5b2
ų 	LATIN SMALL LETTER U WITH OGONEK (U+0173) 	c5b3
Ŵ 	LATIN CAPITAL LETTER W WITH CIRCUMFLEX (U+0174) 	c5b4
ŵ 	LATIN SMALL LETTER W WITH CIRCUMFLEX (U+0175) 	c5b5
Ŷ 	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX (U+0176) 	c5b6
ŷ 	LATIN SMALL LETTER Y WITH CIRCUMFLEX (U+0177) 	c5b7
Ÿ 	LATIN CAPITAL LETTER Y WITH DIAERESIS (U+0178) 	c5b8
Ź 	LATIN CAPITAL LETTER Z WITH ACUTE (U+0179) 	c5b9
ź 	LATIN SMALL LETTER Z WITH ACUTE (U+017A) 	c5ba
Ż 	LATIN CAPITAL LETTER Z WITH DOT ABOVE (U+017B) 	c5bb
ż 	LATIN SMALL LETTER Z WITH DOT ABOVE (U+017C) 	c5bc
Ž 	LATIN CAPITAL LETTER Z WITH CARON (U+017D) 	c5bd
ž 	LATIN SMALL LETTER Z WITH CARON (U+017E) 	c5be
ſ 	LATIN SMALL LETTER LONG S (U+017F) 	c5bf
ƀ 	LATIN SMALL LETTER B WITH STROKE (U+0180) 	c680
Ɓ 	LATIN CAPITAL LETTER B WITH HOOK (U+0181) 	c681
Ƃ 	LATIN CAPITAL LETTER B WITH TOPBAR (U+0182) 	c682
ƃ 	LATIN SMALL LETTER B WITH TOPBAR (U+0183) 	c683
Ƅ 	LATIN CAPITAL LETTER TONE SIX (U+0184) 	c684
ƅ 	LATIN SMALL LETTER TONE SIX (U+0185) 	c685
Ɔ 	LATIN CAPITAL LETTER OPEN O (U+0186) 	c686
Ƈ 	LATIN CAPITAL LETTER C WITH HOOK (U+0187) 	c687
ƈ 	LATIN SMALL LETTER C WITH HOOK (U+0188) 	c688
Ɖ 	LATIN CAPITAL LETTER AFRICAN D (U+0189) 	c689
Ɗ 	LATIN CAPITAL LETTER D WITH HOOK (U+018A) 	c68a
Ƌ 	LATIN CAPITAL LETTER D WITH TOPBAR (U+018B) 	c68b
ƌ 	LATIN SMALL LETTER D WITH TOPBAR (U+018C) 	c68c
ƍ 	LATIN SMALL LETTER TURNED DELTA (U+018D) 	c68d
Ǝ 	LATIN CAPITAL LETTER REVERSED E (U+018E) 	c68e
Ə 	LATIN CAPITAL LETTER SCHWA (U+018F) 	c68f
Ɛ 	LATIN CAPITAL LETTER OPEN E (U+0190) 	c690
Ƒ 	LATIN CAPITAL LETTER F WITH HOOK (U+0191) 	c691
ƒ 	LATIN SMALL LETTER F WITH HOOK (U+0192) 	c692
Ɠ 	LATIN CAPITAL LETTER G WITH HOOK (U+0193) 	c693
Ɣ 	LATIN CAPITAL LETTER GAMMA (U+0194) 	c694
ƕ 	LATIN SMALL LETTER HV (U+0195) 	c695
Ɩ 	LATIN CAPITAL LETTER IOTA (U+0196) 	c696
Ɨ 	LATIN CAPITAL LETTER I WITH STROKE (U+0197) 	c697
Ƙ 	LATIN CAPITAL LETTER K WITH HOOK (U+0198) 	c698
ƙ 	LATIN SMALL LETTER K WITH HOOK (U+0199) 	c699
ƚ 	LATIN SMALL LETTER L WITH BAR (U+019A) 	c69a
ƛ 	LATIN SMALL LETTER LAMBDA WITH STROKE (U+019B) 	c69b
Ɯ 	LATIN CAPITAL LETTER TURNED M (U+019C) 	c69c
Ɲ 	LATIN CAPITAL LETTER N WITH LEFT HOOK (U+019D) 	c69d
ƞ 	LATIN SMALL LETTER N WITH LONG RIGHT LEG (U+019E) 	c69e
Ɵ 	LATIN CAPITAL LETTER O WITH MIDDLE TILDE (U+019F) 	c69f
Ơ 	LATIN CAPITAL LETTER O WITH HORN (U+01A0) 	c6a0
ơ 	LATIN SMALL LETTER O WITH HORN (U+01A1) 	c6a1
Ƣ 	LATIN CAPITAL LETTER OI (U+01A2) 	c6a2
ƣ 	LATIN SMALL LETTER OI (U+01A3) 	c6a3
Ƥ 	LATIN CAPITAL LETTER P WITH HOOK (U+01A4) 	c6a4
ƥ 	LATIN SMALL LETTER P WITH HOOK (U+01A5) 	c6a5
Ʀ 	LATIN LETTER YR (U+01A6) 	c6a6
Ƨ 	LATIN CAPITAL LETTER TONE TWO (U+01A7) 	c6a7
ƨ 	LATIN SMALL LETTER TONE TWO (U+01A8) 	c6a8
Ʃ 	LATIN CAPITAL LETTER ESH (U+01A9) 	c6a9
ƪ 	LATIN LETTER REVERSED ESH LOOP (U+01AA) 	c6aa
ƫ 	LATIN SMALL LETTER T WITH PALATAL HOOK (U+01AB) 	c6ab
Ƭ 	LATIN CAPITAL LETTER T WITH HOOK (U+01AC) 	c6ac
ƭ 	LATIN SMALL LETTER T WITH HOOK (U+01AD) 	c6ad
Ʈ 	LATIN CAPITAL LETTER T WITH RETROFLEX HOOK (U+01AE) 	c6ae
Ư 	LATIN CAPITAL LETTER U WITH HORN (U+01AF) 	c6af
ư 	LATIN SMALL LETTER U WITH HORN (U+01B0) 	c6b0
Ʊ 	LATIN CAPITAL LETTER UPSILON (U+01B1) 	c6b1
Ʋ 	LATIN CAPITAL LETTER V WITH HOOK (U+01B2) 	c6b2
Ƴ 	LATIN CAPITAL LETTER Y WITH HOOK (U+01B3) 	c6b3
ƴ 	LATIN SMALL LETTER Y WITH HOOK (U+01B4) 	c6b4
